sofascore_team_name,league_name,tm_club_name,match_score,match_method,sofascore_team_id,tm_club_id
1. FC Heidenheim,Bundesliga,1.FC Heidenheim 1846,95.0,fuzzy_auto,5885,2036
1. FC Kaiserslautern,2. Bundesliga,1.FC Kaiserslautern,99,normalized,2675,2
1. FC Köln,2. Bundesliga,FC Colonia,100,manual_confirm,2671,
1. FC Köln,Bundesliga,FC Colonia,100,manual_confirm,2671,3
1. FC Magdeburg,2. Bundesliga,1.FC Magdeburg,99,normalized,2591,187
1. FC Nürnberg,2. Bundesliga,1. FC Núremberg​,100,manual_confirm,2523,4
1. FC Union Berlin,Bundesliga,1.FC Unión Berlín,99,normalized,2547,89
1. FSV Mainz 05,Bundesliga,1.FSV Mainz 05,99,normalized,2556,39
AD Alcorcón,1RFEF,AD Alcorcón,100,exact,24322,11596
AD Ceuta,LaLiga2,AD Ceuta FC,99,normalized,2869,8568
ADO Den Haag,Eerste Divisie,ADO Den Haag,100,exact,2966,1268
AFC Ajax,Eredivisie,Ajax de Ámsterdam,90.0,fuzzy_auto,2953,610
AFC Unirea 04 Slobozia,Romanian SuperLiga,AFC Unirea 04 Slobozia,100,exact,44259,29700
AIK,Allsvenskan,AIK,100,exact,1764,272
AVS - Futebol SAD,Liga Portugal,Avs Futebol,95.0,fuzzy_auto,483088,110302
AZ Alkmaar,Eredivisie,AZ Alkmaar,100,exact,2950,1090
Alanyaspor,Turkish Süper Lig,Alanyaspor,100,exact,6362,11282
Albacete Balompié,LaLiga2,Albacete Balompié,100,exact,2848,1532
Algeciras CF,1RFEF,Algeciras CF,100,exact,4489,3705
Almere City FC,Eerste Divisie,Almere City FC,100,exact,2990,723
Almería,LaLiga2,UD Almería,99,normalized,2858,3302
Amazonas FC,Brasileirao Serie B,Amazonas FC,100,exact,336664,87727
Amiens SC,Ligue 2,Amiens SC,100,exact,1676,1416
América Mineiro,Brasileirao Serie B,América Futebol Clube (MG),100,manual_confirm,1973,2863
Annecy FC,Ligue 2,FC Annecy,99,normalized,210894,30204
Antalyaspor,Turkish Süper Lig,Antalyaspor,100,exact,3056,589
Antequera,1RFEF,Antequera CF,99,normalized,24323,16022
Arenas Club,1RFEF,Arenas Club,100,exact,202071,16122
Athletic Club,Brasileirao Serie B,Athletic Club,100,exact,342775,64918
Athletic Club B U21,1RFEF,Bilbao Athletic,90.0,fuzzy_auto,24324,6688
Athletico,Brasileirao Serie B,Athletic Club,94.1,fuzzy_auto,1967,64918
Atlético Goianiense,Brasileirao Serie B,Atlético Clube Goianiense,90.0,fuzzy_auto,7314,15172
Atlético Madrileño,1RFEF,Atlético Madrileño,100,exact,24326,3679
Atlético Sanluqueño,1RFEF,Atlético Sanluqueño CF,99,normalized,77413,21322
Avaí,Brasileirao Serie B,Avaí FC,99,normalized,7315,2035
Avispa Fukuoka,J1 League,Avispa Fukuoka,100,exact,3143,9597
BK Häcken,Allsvenskan,BK Häcken,100,exact,1760,1109
Barakaldo CF,1RFEF,Barakaldo CF,100,exact,2879,3708
Bari,Serie B,SSC Bari,90.0,fuzzy_auto,2712,332
Bastia,Ligue 2,SC Bastia,99,normalized,1655,595
Bayer 04 Leverkusen,Bundesliga,Bayer 04 Leverkusen,100,exact,2681,15
Başakşehir FK,Turkish Süper Lig,Basaksehir FK,99,normalized,3086,6890
Benfica,Liga Portugal,SL Benfica,95.0,fuzzy_auto,3006,294
Betis Deportivo,1RFEF,Betis Deportivo Balompié,99,normalized,24358,2865
Beşiktaş JK,Turkish Süper Lig,Besiktas JK,99,normalized,3050,114
Bodø/Glimt,Norwegian Eliteserien,FK Bodø/Glimt,99,normalized,656,501
Borussia Dortmund,Bundesliga,Borussia Dortmund,100,exact,2673,16
